Time_sec,Signal_mV
0,-2.77039965820313
0.000250004493816508,-2.76698608398438
0.000500008987633017,-2.76377465820313
0.000750013481449525,-2.76379296875
0.00100001797526603,-2.76854614257813
0.00125002246908254,-2.7712255859375
0.00150002696289905,-2.7723818359375
0.00175003145671556,-2.77373974609375
0.00200003595053207,-2.7737763671875
0.00225004044434858,-2.769353515625
0.00250004493816508,-2.77306079101563
0.00275004943198159,-2.7741435546875
0.0030000539257981,-2.77443725585937
0.00325005841961461,-2.77309741210937
0.00350006291343112,-2.77205126953125
0.00375006740724763,-2.77203295898437
0.00400007190106414,-2.77082177734375
0.00425007639488064,-2.77036279296875
0.00450008088869715,-2.7694453125
0.00475008538251366,-2.76883959960937
0.00500008987633017,-2.77157421875
0.00525009437014668,-2.77269384765625
0.00550009886396319,-2.77061987304688
0.0057501033577797,-2.77005078125
0.0060001078515962,-2.76968383789062
0.00625011234541271,-2.76900512695312
0.00650011683922922,-2.77157421875
0.00675012133304573,-2.77157421875
0.00700012582686224,-2.7711337890625
0.00725013032067875,-2.77504272460938
0.00750013481449525,-2.77897021484375
0.00775013930831176,-2.77805249023438
0.00800014380212827,-2.77394165039063
0.00825014829594478,-2.7739599609375
0.00850015278976129,-2.77168432617187
0.0087501572835778,-2.77124389648437
0.0090001617773943,-2.77098681640625
0.00925016627121081,-2.77109692382813
0.00950017076502732,-2.77056469726563
0.00975017525884383,-2.76900512695312
0.0100001797526603,-2.77041796875
0.0102501842464768,-2.77078491210938
0.0105001887402934,-2.77273022460937
0.0107501932341099,-2.77362963867188
0.0110001977279264,-2.77128051757813
0.0112502022217429,-2.77012451171875
0.0115002067155594,-2.76973901367188
0.0117502112093759,-2.77074853515625
0.0120002157031924,-2.77583178710938
0.0122502201970089,-2.77234497070312
0.0125002246908254,-2.77296899414063
0.0127502291846419,-2.7738681640625
0.0130002336784584,-2.7733359375
0.0132502381722749,-2.77150073242187
0.0135002426660915,-2.77517138671875
0.013750247159908,-2.77652905273438
0.0140002516537245,-2.77506127929687
0.014250256147541,-2.77344604492187
0.0145002606413575,-2.77496948242187
0.014750265135174,-2.77155590820312
0.0150002696289905,-2.771849609375
0.015250274122807,-2.77331762695313
0.0155002786166235,-2.773611328125
0.01575028311044,-2.77087670898438
0.0160002876042565,-2.77102368164062
0.0162502920980731,-2.77230810546875
0.0165002965918896,-2.77401513671875
0.0167503010857061,-2.77148266601563
0.0170003055795226,-2.77093188476562
0.0172503100733391,-2.77041796875
0.0175003145671556,-2.7745654296875
0.0177503190609721,-2.77465747070312
0.0180003235547886,-2.77322607421875
0.0182503280486051,-2.7722900390625
0.0185003325424216,-2.772546875
0.0187503370362381,-2.77418017578125
0.0190003415300546,-2.77144580078125
0.0192503460238712,-2.7722900390625
0.0195003505176877,-2.77610693359375
0.0197503550115042,-2.7798876953125
0.0200003595053207,-2.777318359375
0.0202503639991372,-2.77509765625
0.0205003684929537,-2.77326245117187
0.0207503729867702,-2.7698125
0.0210003774805867,-2.7701611328125
0.0212503819744032,-2.771390625
0.0215003864682197,-2.76766528320312
0.0217503909620362,-2.771849609375
0.0220003954558528,-2.77399658203125
0.0222503999496693,-2.77700659179688
0.0225004044434858,-2.7756484375
0.0227504089373023,-2.77429028320313
0.0230004134311188,-2.77568505859375
0.0232504179249353,-2.77522631835937
0.0235004224187518,-2.77102368164062
0.0237504269125683,-2.769353515625
0.0240004314063848,-2.76788549804688
0.0242504359002013,-2.76896826171875
0.0245004403940178,-2.77005078125
0.0247504448878343,-2.77181274414062
0.0250004493816509,-2.77140893554688
0.0252504538754674,-2.769720703125
0.0255004583692839,-2.77118872070313
0.0257504628631004,-2.77419848632813
0.0260004673569169,-2.77225317382812
0.0262504718507334,-2.77278540039062
0.0265004763445499,-2.77109692382813
0.0267504808383664,-2.7685830078125
0.0270004853321829,-2.77115209960937
0.0272504898259994,-2.76907836914063
0.0275004943198159,-2.76894995117188
0.0277504988136324,-2.773244140625
0.028000503307449,-2.77326245117187
0.0282505078012655,-2.771390625
0.028500512295082,-2.77078491210938
0.0287505167888985,-2.7737763671875
0.029000521282715,-2.77585034179687
0.0292505257765315,-2.77698803710937
0.029500530270348,-2.77498754882813
0.0297505347641645,-2.77704296875
0.030000539257981,-2.77867626953125
0.0302505437517975,-2.77561157226563
0.030500548245614,-2.77335424804687
0.0307505527394305,-2.77177612304687
0.0310005572332471,-2.77142749023437
0.0312505617270636,-2.77329931640625
0.0315005662208801,-2.77295068359375
0.0317505707146966,-2.77252856445313
0.0320005752085131,-2.77206982421875
0.0322505797023296,-2.77278540039062
0.0325005841961461,-2.77328100585938
0.0327505886899626,-2.77673095703125
0.0330005931837791,-2.77959423828125
0.0332505976775956,-2.77410668945312
0.0335006021714121,-2.77120703125
0.0337506066652286,-2.77296899414063
0.0340006111590452,-2.77384985351563
0.0342506156528617,-2.77418017578125
0.0345006201466782,-2.7743271484375
0.0347506246404947,-2.77093188476562
0.0350006291343112,-2.77337280273438
0.0352506336281277,-2.774400390625
0.0355006381219442,-2.7687294921875
0.0357506426157607,-2.76395825195313
0.0360006471095772,-2.76612377929687
0.0362506516033937,-2.7653896484375
0.0365006560972102,-2.76726147460937
0.0367506605910267,-2.77173950195313
0.0370006650848433,-2.77173950195313
0.0372506695786598,-2.77074853515625
0.0375006740724763,-2.77017944335938
0.0377506785662928,-2.7739599609375
